id,Ad.Account.Anonymised,Promoted.post.created.date,Ad.creative.object.type,Ad.call_to_action.type,Promoted.post.type,Cost,Impressions,Post.reactions,Post.comments,Post.shares,Ten.second.video.views,X30.second.video.views,Person.,How.many.different.persons.are.visible.,What.about.the.person.s...gender.,Which.category.fits.best.for.this.creative.,How.engaging.is.the.content.,How.entertaining.is.the.content.,How.persuading.is.the.content.,How.informative.is.the.content.,CTA.present.,Sentiment,Topic,GOTV.,Generator..User.generated.or.professional.content.,Use.of.hashtag,Use.of.slogan.or.motto,Direct.reference.to.context,Dominating.color.
1,NY Climate Collective,13/07/2018,video,NO_CTA,video,6466.11,1616083,674,401,227,168944,56385,Yes,5,Man,Persuading,7,3,9,5,CTA in text,Negative,Social issues,0,Professional,0,0,0,Magenta
2,Great Rants,12/04/2019,video,NO_CTA,video,3600,1560883,70,6,2,10534,2240,Yes,5,Both,Engaging,9,2,4,2,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
3,Great Rants,18/04/2019,video,NO_CTA,video,2000,1029651,107,30,15,15332,5306,Yes,5,Both,Engaging,8,3,4,4,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
4,Great Rants,12/04/2019,video,NO_CTA,video,2000,941177,64,19,6,11843,3195,Yes,5,Both,Persuading,6,3,8,4,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
5,Great Rants,12/04/2019,video,NO_CTA,video,2000,920723,87,15,6,8481,2252,Yes,5,Woman,Engaging,8,3,6,2,no CTA at all,Positive,Environment,1,Professional,0,0,0,Blue
6,Great Rants,15/04/2019,video,NO_CTA,video,1673.68,820207,53,9,5,5677,1516,Yes,5,Both,Engaging,8,2,6,3,no CTA at all,Positive,Social issues,1,Professional,0,0,0,Blue
7,NY Climate Collective,08/10/2018,photo,NO_CTA,photo,4360.49,689043,4011,670,645,0,0,Yes,1,Woman,Persuading,3,2,8,1,no CTA at all,Neutral,Social issues,0,Professional,0,0,0,Magenta
8,Great Rants,12/04/2019,video,NO_CTA,video,1379.81,607651,49,3,5,5256,1438,Yes,5,Both,Engaging,8,2,6,2,no CTA at all,Positive,Other,1,Professional,0,0,0,Blue
9,NY Climate Collective,01/03/2018,video,learn_more,video,5000,576576,1974,133,337,70913,34250,Yes,3,Both,Engaging,10,3,5,2,CTA in both,Positive,Finance,0,Professional,0,0,0,Magenta
10,Great Rants,22/03/2019,video,NO_CTA,video,4931.98,564198,1751,375,479,60866,21332,Yes,5,Both,Persuading,2,1,8,1,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Red
11,NY Climate Collective,25/07/2018,video,NO_CTA,video,1700,527326,243,93,131,23921,23921,No,0,No person,Persuading,1,2,9,3,no CTA at all,Negative,Finance,0,Professional,0,0,0,Magenta
12,Great Rants,04/05/2019,photo,NO_CTA,photo,911.02,487263,94,34,8,0,0,Yes,1,Woman,Persuading,3,1,7,1,no CTA at all,Positive,Social issues,1,Professional,0,0,0,Blue
13,NY Climate Collective,12/01/2018,video,learn_more,video,1237.94,477650,0,0,0,5161,4306,No,0,No person,Persuading,1,4,9,3,no CTA at all,Negative,Finance,0,Professional,0,0,0,Magenta
14,Heschsoft,21/03/2019,video,NO_CTA,video,1107.94,443306,191,25,18,5193,1002,No,0,No person,Engaging,10,1,5,2,CTA in both,Positive,Social issues,0,Professional,0,0,0,Purple
15,Great Rants,15/03/2019,photo,NO_CTA,photo,2379.64,437993,623,95,64,0,0,Yes,5,Both,Persuading,1,1,7,1,no CTA at all,Positive,Environment,0,Professional,0,0,0,Red
16,Great Rants,14/05/2019,video,NO_CTA,video,1487.4,427243,822,152,93,22419,6516,Yes,2,Both,Persuading,2,1,9,4,no CTA at all,Positive,Finance,0,Professional,0,0,0,White
17,NY Climate Collective,22/02/2018,video,learn_more,video,3338.74,424058,4459,78,13,18508,8352,Yes,0,No person,Engaging,1,1,1,1,no CTA at all,Neutral,Other,0,Review needed,0,0,0,Black
18,Great Rants,18/04/2019,video,NO_CTA,video,1963.7,393356,836,279,126,77884,40861,Yes,5,Both,Persuading,5,2,9,2,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
19,Great Rants,15/04/2019,video,NO_CTA,video,2000,391671,556,302,67,42188,17426,Yes,5,Woman,Persuading,3,2,9,3,no CTA at all,Positive,Environment,1,Professional,0,0,0,Blue
21,NY Climate Collective,17/01/2019,video,subscribe,video,480.59,382751,0,0,1,2873,1954,Yes,5,Both,Engaging,10,2,5,2,CTA in creative,Positive,No topic,0,Professional,0,0,0,Magenta
22,Heschsoft,28/03/2019,video,NO_CTA,video,567.84,365647,64,8,4,3283,1110,No,0,No person,Engaging,9,2,6,1,CTA in creative,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Purple
23,Great Rants,16/04/2019,photo,NO_CTA,photo,1210.01,352382,349,37,29,0,0,Yes,3,Both,Persuading,1,1,9,1,no CTA at all,Positive,Infrastructure,0,Professional,0,0,0,Blue
24,Great Rants,23/08/2018,video,NO_CTA,video,1200,351897,1100,159,375,76127,48757,Yes,2,Man,Engaging,8,2,7,1,CTA in text,Positive,Social issues,0,Professional,0,0,0,Green
25,Spartan Consulting,28/03/2019,video,NO_CTA,video,1031.48,335267,632,374,173,32126,17101,Yes,5,Both,Persuading,6,2,8,2,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
26,NY Climate Collective,14/03/2019,video,NO_CTA,video,1301.75,334223,274,114,119,18396,18396,Yes,5,Both,Persuading,5,3,9,1,CTA in both,Negative,Social issues,0,Professional,0,0,0,Magenta
28,Heschsoft,01/04/2019,video,NO_CTA,video,469.67,326881,35,15,3,5313,5313,No,0,No person,Persuading,2,1,7,3,no CTA at all,Positive,Security,0,Professional,0,0,0,Purple
29,NY Climate Collective,15/03/2019,video,NO_CTA,video,951.91,326707,663,87,196,94788,94788,No,0,No person,Informing,2,4,4,7,CTA in text,Neutral,Social issues,0,Professional,0,0,0,Magenta
30,Great Rants,15/04/2019,video,NO_CTA,video,2000,322488,458,249,78,37846,15265,Yes,1,Woman,Persuading,4,2,9,3,CTA in text,Positive,Infrastructure,0,Professional,0,0,0,Blue
32,Great Rants,23/05/2019,video,NO_CTA,video,2113.44,305424,283,122,45,35112,8159,No,0,No person,Persuading,4,7,9,1,no CTA at all,Positive,Finance,1,Professional,1,1,1,White
34,Heschsoft,05/04/2019,video,NO_CTA,video,452.73,300324,28,3,1,6794,6794,No,0,No person,Persuading,1,1,9,3,no CTA at all,Neutral,Finance,0,Professional,1,0,0,White
35,Great Rants,12/04/2019,video,NO_CTA,video,1800.08,295119,1294,275,73,36765,11623,Yes,1,Woman,Persuading,2,1,9,1,no CTA at all,Positive,Environment,0,User generated,1,0,0,Other
37,Great Rants,06/04/2019,photo,NO_CTA,photo,741.93,278994,103,25,6,0,0,Yes,1,Woman,Persuading,1,1,7,2,no CTA at all,Neutral,International Politics,0,Professional,1,0,0,Black
38,Great Rants,18/04/2019,photo,NO_CTA,photo,849.45,274801,405,60,29,0,0,Yes,1,Woman,Persuading,1,1,9,5,no CTA at all,Positive,Finance,0,Professional,1,0,0,Blue
40,Great Rants,23/05/2019,photo,NO_CTA,photo,1621.79,258010,277,66,20,0,0,Yes,3,Woman,Persuading,4,1,9,1,no CTA at all,Positive,Social issues,1,Professional,1,0,1,Blue
41,Great Rants,08/04/2019,video,learn_more,video,2060.97,252585,70,27,2,15892,8205,Yes,1,Woman,Persuading,1,1,7,3,no CTA at all,Negative,Social issues,0,Review needed,0,1,0,Blue
43,NY Climate Collective,27/06/2019,link,NO_CTA,share,353.42,239434,169,69,24,0,0,No,0,No person,Informing,6,2,5,9,CTA in text,Positive,Environment,0,Professional,1,0,0,Blue
44,NY Climate Collective,22/08/2019,link,NO_CTA,share,925.53,238734,404,69,73,0,0,Yes,5,Both,Informing,5,1,5,9,CTA in text,Positive,Other,0,Professional,1,0,0,Blue
45,Great Rants,10/05/2019,photo,NO_CTA,photo,657.47,232122,101,24,15,0,0,Yes,2,Both,Persuading,1,1,7,3,no CTA at all,Positive,Finance,0,Professional,1,0,0,Black
47,Great Rants,17/05/2019,video,NO_CTA,video,1235.32,227169,186,75,12,9295,2404,Yes,5,Both,Persuading,2,1,9,4,no CTA at all,Positive,Other,1,Professional,1,0,1,Blue
48,NY Climate Collective,17/04/2019,photo,NO_CTA,photo,518.85,223668,581,318,126,0,0,No,0,No person,Informing,1,5,5,9,no CTA at all,Negative,Finance,0,Professional,0,0,0,Magenta
49,NY Climate Collective,16/05/2018,photo,message_page,photo,700.84,222457,2368,210,1142,0,0,No,0,No person,Informing,1,2,4,9,no CTA at all,Negative,Finance,0,Professional,1,0,0,Magenta
50,Heschsoft,08/04/2019,video,NO_CTA,video,357.66,217921,41,9,2,2525,553,No,0,No person,Engaging,8,1,7,4,CTA in creative,Positive,Security,0,Professional,1,0,0,Purple
51,NY Climate Collective,05/06/2018,photo,message_page,photo,1000,215201,12,2,5,0,0,No,0,No person,Persuading,1,1,10,9,no CTA at all,Negative,Finance,0,Professional,1,0,1,Magenta
52,NY Climate Collective,02/02/2018,video,learn_more,video,600,210501,1297,123,303,22395,4842,Yes,5,Both,Persuading,4,1,8,3,CTA in both,Positive,Finance,0,Professional,0,0,0,Magenta
53,Grece Foundation,08/01/2018,video,NO_CTA,video,735.61,210381,248,34,40,6862,2864,Yes,5,Man,Entertaining,3,9,7,6,CTA in text,Positive,Social issues,0,Professional,0,0,0,White
55,Ted Hansen Campaign,07/08/2018,video,NO_CTA,video,643.05,207664,40,4,7,11698,2800,Yes,5,Both,Persuading,1,2,9,4,no CTA at all,Positive,Economy,0,Professional,0,0,0,Grey
56,Grece Foundation,16/01/2019,photo,NO_CTA,photo,443.2,202569,14,2,1,0,0,Yes,5,Both,Persuading,5,1,8,3,CTA in text,Positive,Economy,0,Professional,0,0,0,Black
57,Great Rants,06/03/2019,photo,NO_CTA,photo,559.62,202484,1943,325,285,0,0,Yes,1,Woman,Persuading,1,1,9,3,no CTA at all,Positive,Social issues,0,Professional,0,0,0,Grey
58,NY Climate Collective,16/10/2018,link,NO_CTA,share,443.91,202331,658,58,34,0,0,No,0,No person,Informing,4,1,6,9,CTA in text,Neutral,Finance,0,Professional,0,0,0,Magenta
61,NY Climate Collective,09/10/2018,photo,NO_CTA,photo,575.19,192477,348,114,52,0,0,No,0,No person,Persuading,5,1,7,1,CTA in text,Neutral,"Innovation, science and digitalization",0,Professional,0,0,0,Magenta
62,Heschsoft,26/08/2019,video,NO_CTA,video,417.24,191727,49,4,3,1904,484,Yes,5,Both,Persuading,4,1,9,1,CTA in text,Positive,Infrastructure,0,Professional,1,0,0,Blue
63,Heschsoft,19/03/2019,photo,NO_CTA,photo,518.34,188707,1502,143,329,0,0,No,0,No person,Engaging,9,1,6,1,CTA in creative,Positive,Security,0,Professional,1,0,0,Black
65,Great Rants,23/05/2019,photo,NO_CTA,photo,1314.29,187337,143,47,14,0,0,Yes,1,Woman,Persuading,3,1,9,1,no CTA at all,Positive,Social issues,1,Professional,1,0,1,Blue
66,Great Rants,07/05/2019,link,learn_more,share,1311.26,186189,1178,247,208,0,0,Yes,1,Woman,Persuading,1,1,9,3,no CTA at all,Negative,Education,0,Professional,0,0,0,Blue
67,Great Rants,19/05/2019,photo,NO_CTA,photo,500.04,184623,212,21,20,0,0,Yes,2,Woman,Persuading,1,1,9,1,no CTA at all,Positive,Social issues,0,Professional,1,0,0,White
68,NY Climate Collective,13/03/2019,video,NO_CTA,video,362.28,182036,106,166,33,9906,3426,Yes,1,Man,Persuading,2,1,8,3,CTA in both,Positive,Social issues,0,Professional,1,0,0,Magenta
69,Loto Paper Laundry,16/11/2018,video,NO_CTA,video,1586.42,181687,1343,317,263,25981,8184,Yes,5,Both,Persuading,2,1,8,5,no CTA at all,Positive,Social issues,0,Professional,0,0,0,White
70,Heschsoft,31/01/2019,video,NO_CTA,video,200,180537,31,1,2,1357,288,Yes,1,Man,Persuading,1,2,9,3,no CTA at all,Positive,Security,0,Professional,0,0,0,Grey
71,NY Climate Collective,10/04/2019,video,NO_CTA,video,468.59,178621,598,347,440,39108,33187,Yes,1,Woman,Informing,1,1,5,8,no CTA at all,Positive,Social issues,0,Professional,0,0,0,Blue
72,Great Rants,19/03/2019,link,learn_more,share,1110.31,175914,865,243,204,0,0,Yes,5,Both,Persuading,1,1,9,4,no CTA at all,Negative,Social issues,0,Professional,0,0,0,Blue
73,NY Climate Collective,09/04/2019,video,NO_CTA,video,403.22,175374,23,13,1,8783,6416,Yes,2,Both,Entertaining,2,8,5,1,no CTA at all,Negative,Social issues,0,Professional,0,0,0,Magenta
75,Great Rants,13/05/2019,photo,NO_CTA,photo,696.9,174882,492,36,5,0,0,Yes,1,Woman,Persuading,1,2,8,1,no CTA at all,Positive,Education,0,User generated,1,0,0,Black
77,Cargill Entertainment,15/06/2018,photo,NO_CTA,photo,356.6,174343,48,2,2,0,0,Yes,5,Both,Informing,3,1,4,9,CTA in text,Neutral,International Politics,0,Professional,0,0,0,Yellow
78,Narisoft,17/10/2018,photo,NO_CTA,photo,825.25,174301,5026,306,1158,0,0,Yes,1,Man,Engaging,10,3,5,2,CTA in both,Positive,Environment,0,Professional,0,0,1,Yellow
79,Great Rants,13/05/2019,photo,NO_CTA,photo,427.68,171698,73,21,7,0,0,Yes,1,Woman,Persuading,1,1,9,3,no CTA at all,Positive,Finance,0,Professional,1,0,0,Red
80,Loto Paper Laundry,30/12/2018,video,NO_CTA,video,1001.7,169762,1479,386,97,20498,5561,Yes,5,Both,Persuading,5,3,8,2,CTA in text,Positive,Social issues,0,Professional,0,0,0,Blue
81,Ted Hansen Campaign,21/01/2019,video,NO_CTA,video,433.21,169152,17,5,2,2472,705,Yes,5,Both,Informing,1,2,7,8,no CTA at all,Positive,Economy,0,Professional,0,1,0,Blue
82,Ted Hansen Campaign,13/02/2019,video,NO_CTA,video,412.45,168884,31,5,7,15545,15545,No,0,No person,Persuading,1,6,9,2,no CTA at all,Negative,Economy,0,Professional,0,1,0,Yellow
84,NY Climate Collective,28/06/2019,photo,NO_CTA,photo,344.54,166534,2075,380,1009,0,0,No,0,No person,Informing,2,2,6,9,CTA in text,Positive,Environment,0,Professional,0,0,0,Magenta
85,Grece Foundation,07/06/2019,photo,NO_CTA,photo,214.75,164975,664,1,10,0,0,No,0,No person,Persuading,2,2,6,5,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
86,Heschsoft,27/08/2018,video,like_page,video,700,164482,965,144,61,4461,1837,Yes,5,Both,Engaging,9,1,4,2,CTA in both,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,White
87,Ted Hansen Campaign,11/03/2019,video,NO_CTA,video,370.76,162991,25,3,7,13272,3396,Yes,5,Both,Persuading,2,2,7,3,no CTA at all,Positive,Economy,0,Professional,0,1,0,Blue
88,NY Climate Collective,20/03/2019,video,NO_CTA,video,585.88,162333,200,97,72,28678,21142,Yes,1,Man,Persuading,1,3,9,5,CTA in both,Negative,Social issues,0,Professional,1,0,0,Magenta
91,NY Climate Collective,22/02/2019,video,NO_CTA,video,306.01,160673,73,21,59,6453,6453,No,0,No person,Persuading,2,2,9,7,CTA in text,Negative,Finance,0,Professional,1,0,0,Magenta
93,NY Climate Collective,18/03/2019,video,NO_CTA,video,474.41,158435,97,33,10,8680,6925,Yes,1,Man,Persuading,2,4,9,2,CTA in both,Negative,Social issues,0,Professional,1,0,0,Magenta
94,Great Rants,24/05/2019,photo,NO_CTA,photo,1188.22,156594,257,94,18,0,0,Yes,1,Woman,Persuading,3,1,9,2,no CTA at all,Positive,International Politics,1,Professional,1,0,0,Blue
95,NY Climate Collective,11/10/2018,video,NO_CTA,video,1105.96,155059,78,52,16,23605,9127,No,0,No person,Engaging,9,3,5,2,CTA in text,Positive,Finance,0,Professional,1,0,0,White
96,Great Rants,24/05/2019,photo,NO_CTA,photo,1016.51,154510,126,38,4,0,0,Yes,4,Both,Persuading,3,1,9,2,no CTA at all,Positive,International Politics,1,Professional,1,0,1,Blue
97,Heschsoft,26/07/2018,video,NO_CTA,video,175,153557,56,1,2,2081,613,Yes,5,Both,Persuading,1,4,9,3,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,Blue
99,Grece Foundation,30/08/2019,photo,NO_CTA,photo,228.59,152616,3,0,0,0,0,No,0,No person,Informing,5,1,1,8,CTA in text,Positive,Economy,0,Professional,1,0,0,Blue
100,Pierce Associates,05/09/2019,photo,NO_CTA,photo,338.74,151593,41,25,4,0,0,Yes,1,Woman,Persuading,2,2,7,5,no CTA at all,Negative,Education,0,Professional,1,0,0,Blue
101,NY Climate Collective,07/12/2018,photo,NO_CTA,photo,705.92,150015,1801,431,216,0,0,Yes,3,Both,Persuading,3,1,8,4,CTA in text,Positive,Finance,0,Professional,0,0,0,Magenta
102,NY Climate Collective,27/03/2019,link,NO_CTA,share,477.57,146553,683,287,155,0,0,No,0,No person,Informing,5,1,3,8,CTA in text,Positive,International Politics,1,Professional,1,0,1,Blue
103,NY Climate Collective,06/08/2018,photo,NO_CTA,photo,315.94,145250,810,284,259,0,0,No,0,No person,Persuading,3,1,8,5,no CTA at all,Negative,Finance,0,Professional,0,0,0,Magenta
104,NY Climate Collective,11/06/2019,video,NO_CTA,video,290.37,145031,90,25,24,23964,23964,No,0,No person,Informing,2,2,7,8,CTA in text,Positive,Social issues,0,Professional,1,0,0,Magenta
105,NY Climate Collective,08/11/2018,photo,NO_CTA,photo,781.35,144045,1373,191,243,0,0,No,0,No person,Persuading,1,5,8,3,no CTA at all,Negative,Social issues,0,Professional,1,0,0,Magenta
106,NY Climate Collective,15/08/2019,photo,NO_CTA,photo,164.44,144043,13,5,6,0,0,No,0,No person,Informing,5,3,2,8,CTA in text,Positive,Education,0,Professional,1,0,0,Green
107,Cargill Entertainment,09/03/2018,photo,NO_CTA,photo,581.1,142769,141,30,5,0,0,Yes,1,Man,Persuading,2,1,6,4,CTA in text,Positive,Economy,0,Professional,0,0,0,Blue
108,NY Climate Collective,10/09/2019,photo,NO_CTA,photo,298.38,141816,23,4,1,0,0,No,0,No person,Informing,2,2,2,8,CTA in text,Positive,Finance,0,Professional,0,0,0,Magenta
109,Grece Foundation,22/02/2019,photo,NO_CTA,photo,309.23,141191,393,19,49,0,0,No,0,No person,Persuading,2,2,7,4,no CTA at all,Positive,Finance,0,Professional,0,0,0,Blue
110,NY Climate Collective,07/06/2019,video,NO_CTA,share,276.51,139300,377,69,49,0,0,Yes,1,Man,Informing,5,1,2,8,CTA in text,Positive,Economy,0,Professional,1,0,0,Grey
112,NY Climate Collective,15/05/2018,link,NO_CTA,share,500,138600,1208,145,73,0,0,No,0,No person,Informing,2,2,2,8,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
115,Cargill Entertainment,10/01/2019,photo,NO_CTA,photo,426.15,136440,203,13,18,0,0,No,0,No person,Informing,1,1,4,9,no CTA at all,Positive,Economy,0,Professional,0,0,0,White
116,Grece Foundation,19/10/2018,video,NO_CTA,video,307.17,134370,31,0,2,1857,645,Yes,5,Both,Entertaining,3,7,1,5,CTA in text,Positive,Economy,0,Professional,0,0,0,Grey
117,Grece Foundation,25/10/2018,link,NO_CTA,share,377.37,133751,470,46,129,0,0,Yes,1,Man,Informing,3,1,8,6,CTA in text,Positive,Finance,0,Professional,0,0,0,Grey
118,Cargill Entertainment,14/03/2019,photo,NO_CTA,photo,313.68,133160,428,44,56,0,0,No,0,No person,Informing,1,2,3,9,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
119,NY Climate Collective,17/05/2019,video,NO_CTA,video,620.17,132893,113,79,40,12526,12526,Yes,2,Man,Persuading,2,3,9,5,CTA in both,Negative,Finance,0,Professional,1,0,0,Magenta
120,Grece Foundation,22/03/2019,photo,NO_CTA,photo,264.17,132137,633,177,115,0,0,No,0,No person,Informing,3,2,7,9,CTA in text,Negative,Finance,0,Professional,0,0,0,White
121,NY Climate Collective,14/05/2019,video,NO_CTA,video,284.47,131100,204,123,172,16699,16699,Yes,2,Both,Persuading,3,2,8,5,CTA in both,Negative,Finance,0,Professional,1,0,0,Magenta
122,Sound Green Toronto,16/05/2019,status,NO_CTA,album,384.32,130974,248,11,6,0,0,Yes,5,Man,Persuading,1,1,8,3,no CTA at all,Positive,Economy,0,Professional,0,0,0,Black
123,NY Climate Collective,01/02/2018,video,learn_more,video,741.08,130942,324,29,76,33439,13188,Yes,5,Both,Persuading,2,1,6,3,no CTA at all,Positive,Finance,0,Professional,1,0,0,Magenta
125,NY Climate Collective,28/09/2018,photo,NO_CTA,photo,556.87,130128,553,58,143,0,0,No,0,No person,Persuading,1,1,7,2,no CTA at all,Negative,Finance,0,Professional,1,0,0,White
126,NY Climate Collective,19/07/2018,photo,NO_CTA,photo,375.08,129570,553,119,32,0,0,No,0,No person,Informing,1,1,4,8,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
127,NY Climate Collective,01/07/2019,photo,NO_CTA,photo,211.95,128391,380,175,57,0,0,No,0,No person,Informing,3,1,3,9,CTA in text,Negative,Environment,0,Professional,0,0,0,Grey
128,NY Climate Collective,22/02/2018,video,learn_more,video,723.25,127375,533,73,164,19382,8908,Yes,5,Both,Persuading,2,2,7,4,no CTA at all,Positive,Finance,0,Professional,1,0,0,Magenta
129,Heschsoft,04/04/2019,video,NO_CTA,video,195.2,127280,13,4,2,1813,371,No,0,No person,Persuading,1,1,8,5,CTA in text,Positive,Security,0,Professional,1,0,0,Purple
130,NY Climate Collective,06/05/2019,video,NO_CTA,video,240.17,127013,49,14,4,2651,2651,No,0,No person,Persuading,1,1,6,4,CTA in text,Positive,International Politics,1,Professional,1,0,1,Blue
131,Grece Foundation,05/10/2018,photo,NO_CTA,photo,316.91,126608,6,0,0,0,0,Yes,1,Woman,Informing,2,1,6,8,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
132,NY Climate Collective,07/06/2018,video,message_page,video,548.03,126405,138,72,18,15411,6735,Yes,2,Both,Persuading,1,1,8,4,CTA in both,Positive,Economy,0,Professional,0,0,0,Magenta
133,Ted Hansen Campaign,25/04/2019,photo,NO_CTA,photo,327.47,125312,1297,177,53,0,0,No,0,No person,Engaging,8,6,1,2,CTA in creative,Neutral,Economy,0,Professional,0,0,0,Yellow
134,NY Climate Collective,25/04/2019,photo,NO_CTA,photo,321.03,125287,378,68,89,0,0,No,0,No person,Informing,2,3,5,8,CTA in text,Neutral,Economy,0,Professional,0,0,0,Magenta
135,NY Climate Collective,09/10/2018,video,NO_CTA,video,662.85,123524,89,107,30,11392,3008,Yes,1,Man,Persuading,1,1,9,7,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Magenta
136,Loto Paper Laundry,06/12/2018,video,NO_CTA,video,1056.15,122387,1415,616,104,25838,7684,Yes,5,Both,Persuading,2,1,9,3,no CTA at all,Positive,Other,1,Professional,0,0,0,Blue
137,Great Rants,03/05/2019,photo,NO_CTA,photo,263.77,122225,110,40,17,0,0,Yes,1,Woman,Persuading,1,1,7,3,no CTA at all,Positive,Economy,1,Professional,1,0,0,Blue
139,Grece Foundation,05/04/2019,video,NO_CTA,share,194.76,119923,47,1,3,0,0,Yes,2,Both,Informing,2,1,4,8,CTA in text,Positive,Economy,0,Professional,0,0,0,Grey
140,NY Climate Collective,31/05/2018,video,NO_CTA,video,537.02,118983,164,33,39,3099,3099,Yes,3,Both,Engaging,9,3,1,1,CTA in both,Positive,No topic,0,Professional,0,0,0,Magenta
141,Loto Paper Laundry,01/11/2018,video,NO_CTA,video,595.68,116634,1128,541,95,19732,8264,Yes,5,Both,Persuading,4,1,8,2,no CTA at all,Positive,Other,1,Professional,0,0,0,Blue
142,Heschsoft,05/09/2018,video,NO_CTA,video,174.86,116465,89,11,8,2047,676,Yes,5,Both,Persuading,5,2,7,3,CTA in creative,Positive,Economy,0,Professional,0,0,0,Blue
143,NY Climate Collective,15/07/2019,photo,NO_CTA,photo,131.65,115613,26,0,1,0,0,No,0,No person,Engaging,9,2,4,1,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Magenta
144,Grece Foundation,31/08/2018,photo,NO_CTA,photo,247.16,114483,14,2,2,0,0,Yes,2,Both,Persuading,4,1,7,3,CTA in text,Positive,Health and lifestyle,0,Professional,0,0,0,White
145,Grece Foundation,18/03/2019,photo,NO_CTA,photo,211.71,114343,172,48,31,0,0,No,0,No person,Informing,4,2,4,8,CTA in text,Positive,Social issues,0,Professional,0,0,0,Blue
146,Heschsoft,27/08/2019,photo,NO_CTA,photo,290.82,114280,24,18,3,0,0,No,0,No person,Persuading,3,1,9,4,CTA in text,Positive,Infrastructure,0,Professional,1,0,0,Purple
147,Ted Hansen Campaign,30/05/2019,photo,NO_CTA,photo,236.79,114015,1017,184,50,0,0,No,0,No person,Engaging,9,4,2,2,CTA in creative,Neutral,Economy,0,Professional,0,0,0,Blue
148,NY Climate Collective,09/05/2018,photo,NO_CTA,photo,508.46,114007,1495,107,335,0,0,No,0,No person,Engaging,9,2,1,1,CTA in both,Positive,Finance,0,Professional,0,0,0,Grey
149,NY Climate Collective,28/09/2018,link,NO_CTA,status,312.81,113649,154,38,14,0,0,No,0,No person,Engaging,9,1,4,3,CTA in text,Neutral,Finance,0,Professional,1,0,0,White
150,NY Climate Collective,26/02/2019,link,NO_CTA,status,242.4,112993,8,9,2,2751,549,Yes,5,Both,Informing,2,1,5,6,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
151,NY Climate Collective,19/03/2019,video,NO_CTA,video,337.24,112076,44,23,5,7682,1261,Yes,5,Both,Persuading,2,1,8,4,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
152,NY Climate Collective,24/01/2018,link,learn_more,share,1425.07,111863,527,199,146,0,0,Yes,2,Both,Engaging,7,1,3,1,CTA in both,Positive,Finance,0,Professional,0,0,0,Magenta
153,NY Climate Collective,22/11/2018,photo,NO_CTA,photo,272.42,111426,21,5,2,0,0,No,0,No person,Informing,3,1,6,9,CTA in text,Positive,Finance,0,Professional,0,0,0,Magenta
155,Ted Hansen Campaign,22/08/2019,photo,NO_CTA,photo,178.45,110817,13,8,0,0,0,Yes,1,Man,Persuading,2,1,8,3,no CTA at all,Positive,International Politics,0,Professional,0,0,0,Blue
156,Grece Foundation,22/10/2018,link,NO_CTA,share,277.23,110761,82,6,17,0,0,No,0,No person,Informing,1,1,5,9,no CTA at all,Negative,Social issues,0,Professional,0,0,0,Blue
157,Great Rants,17/10/2018,video,NO_CTA,video,400,110691,174,33,14,3575,937,Yes,1,Woman,Persuading,2,1,9,4,no CTA at all,Positive,International Politics,1,Professional,0,0,1,White
158,NY Climate Collective,11/06/2019,link,NO_CTA,share,259.5,110035,472,157,63,0,0,Yes,1,Man,Informing,2,1,5,9,CTA in text,Positive,Environment,0,Professional,0,0,0,Black
160,Great Rants,03/05/2019,link,learn_more,share,944.09,108592,100,94,11,0,0,Yes,1,Woman,Engaging,9,1,2,5,CTA in creative,Positive,International Politics,1,Professional,0,0,0,Blue
162,Liberty House,11/01/2019,photo,NO_CTA,photo,357.11,107373,360,89,42,0,0,No,0,No person,Persuading,1,2,9,7,no CTA at all,Positive,Education,0,Professional,0,0,0,Grey
163,Ted Hansen Campaign,21/09/2018,video,NO_CTA,video,409.97,106980,112,4,18,13428,4280,Yes,2,Man,Persuading,1,1,9,7,no CTA at all,Positive,Environment,0,Professional,0,1,0,White
164,NY Climate Collective,25/01/2018,video,learn_more,video,1397.18,104698,94,4,9,12768,4910,Yes,5,Both,Engaging,8,3,5,2,CTA in text,Positive,Finance,0,Professional,1,0,0,Magenta
