id,Ad.Account.Anonymised,Promoted.post.created.date,Ad.creative.object.type,Ad.call_to_action.type,Promoted.post.type,Cost,Impressions,Post.reactions,Post.comments,Post.shares,Ten.second.video.views,X30.second.video.views,Person.,How.many.different.persons.are.visible.,What.about.the.person.s...gender.,Which.category.fits.best.for.this.creative.,How.engaging.is.the.content.,How.entertaining.is.the.content.,How.persuading.is.the.content.,How.informative.is.the.content.,CTA.present.,Sentiment,Topic,GOTV.,Generator..User.generated.or.professional.content.,Use.of.hashtag,Use.of.slogan.or.motto,Direct.reference.to.context,Dominating.color.
403,NY Climate Collective,25/01/2018,photo,learn_more,photo,462.3,55746,3860,116,293,0,0,Yes,1,Man,Engaging,7,1,3,1,CTA in both,Positive,Finance,0,Professional,0,0,1,Grey
404,NY Climate Collective,07/06/2018,link,NO_CTA,share,151.33,55700,61,24,2,0,0,Yes,1,Man,Informing,2,1,7,8,no CTA at all,Positive,Finance,0,Professional,0,0,0,Grey
405,Ted Hansen Campaign,12/10/2018,photo,NO_CTA,photo,109.64,55552,13,0,0,0,0,No,0,No person,Persuading,1,5,6,2,no CTA at all,Positive,International Politics,0,Professional,0,0,0,Blue
406,Great Rants,03/05/2019,link,learn_more,share,283.43,55479,133,18,11,0,0,Yes,1,Woman,Engaging,8,1,7,5,CTA in creative,Positive,International Politics,1,Professional,1,0,0,Blue
408,Grece Foundation,01/02/2019,photo,NO_CTA,photo,94.02,55240,2,0,0,0,0,No,0,No person,Informing,2,1,4,8,CTA in text,Positive,Health and lifestyle,0,Professional,0,0,0,Blue
410,Great Rants,04/06/2018,photo,NO_CTA,photo,500,55210,3114,809,151,0,0,Yes,1,Man,Persuading,1,1,6,5,no CTA at all,Positive,Social issues,0,Professional,0,0,0,Black
411,Cargill Entertainment,06/02/2019,photo,NO_CTA,photo,117.53,55119,73,7,18,0,0,Yes,1,Man,Informing,2,1,1,8,no CTA at all,Neutral,"Innovation, science and digitalization",0,Professional,0,0,0,Black
413,Liberty House,01/03/2019,video,NO_CTA,video,129.71,54707,49,55,11,4251,2496,No,0,No person,Entertaining,5,7,2,4,no CTA at all,Neutral,Environment,0,Professional,0,0,0,Black
414,Heschsoft,27/06/2019,video,NO_CTA,video,191.13,54706,23,9,1,2259,984,Yes,1,Man,Persuading,2,1,8,6,no CTA at all,Positive,Infrastructure,0,Professional,1,0,0,Purple
415,Heschsoft,29/08/2019,photo,NO_CTA,photo,256.83,54419,35,4,5,0,0,Yes,3,Both,Persuading,1,1,7,6,CTA in text,Positive,Infrastructure,0,Professional,1,0,0,Blue
416,Great Rants,07/05/2019,link,learn_more,share,469.31,54233,57,29,5,0,0,Yes,1,Woman,Engaging,8,1,3,6,CTA in both,Positive,No topic,1,Professional,0,0,0,Blue
417,NY Climate Collective,12/11/2018,video,NO_CTA,video,160.87,54200,6,7,1,4576,2640,No,0,No person,Persuading,2,4,7,3,CTA in text,Positive,Finance,0,Professional,1,0,0,Magenta
418,Ted Hansen Campaign,29/03/2019,photo,NO_CTA,photo,141.82,54093,271,39,48,0,0,No,0,No person,Persuading,5,1,7,2,no CTA at all,Positive,International Politics,1,Professional,0,0,0,Blue
419,Cargill Entertainment,09/05/2019,photo,NO_CTA,photo,357.5,54048,13,2,1,0,0,No,0,No person,Informing,4,1,2,8,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
420,Grece Foundation,06/08/2018,photo,NO_CTA,photo,124.72,54008,4,2,0,0,0,Yes,3,Both,Persuading,1,1,7,5,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Black
421,Grece Foundation,06/03/2019,link,NO_CTA,share,94.75,53993,163,46,19,0,0,Yes,1,Man,Persuading,5,1,8,6,CTA in text,Positive,Economy,0,Professional,0,0,0,Blue
422,Grece Foundation,18/12/2018,photo,NO_CTA,photo,159.27,53851,216,28,65,0,0,No,0,No person,Informing,2,1,6,9,no CTA at all,Neutral,"Innovation, science and digitalization",0,Professional,0,0,0,Purple
423,Spartan Consulting,02/01/2019,photo,NO_CTA,photo,116.35,53603,38,1,8,0,0,No,0,No person,Informing,1,1,2,9,no CTA at all,Neutral,Finance,0,Professional,0,0,0,Blue
425,Loto Paper Laundry,19/11/2018,video,NO_CTA,video,380.7,53596,584,120,98,8962,3696,Yes,1,Man,Persuading,1,1,8,4,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,Black
426,Great Rants,08/04/2019,video,learn_more,video,453.27,53292,13,6,0,2510,1178,No,0,No person,Persuading,5,1,7,3,CTA in creative,Positive,Finance,1,Professional,0,0,0,Blue
427,NY Climate Collective,26/06/2019,photo,NO_CTA,photo,144.14,53286,215,27,34,0,0,No,0,No person,Persuading,2,1,7,6,CTA in text,Positive,Economy,0,Professional,1,0,0,Blue
428,Grece Foundation,09/01/2019,photo,NO_CTA,photo,93.35,53046,175,29,46,0,0,No,0,No person,Persuading,1,1,5,2,no CTA at all,Neutral,Finance,0,Professional,0,0,0,White
429,Great Rants,16/04/2019,video,NO_CTA,video,300,52935,59,35,7,7551,3041,No,0,No person,Persuading,3,1,7,3,CTA in text,Positive,Health and lifestyle,1,Professional,0,0,1,Red
431,Grece Foundation,04/12/2018,photo,NO_CTA,photo,179.96,52891,139,3,10,0,0,No,0,No person,Persuading,2,3,7,5,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Green
432,Grece Foundation,13/03/2019,photo,NO_CTA,photo,104.39,52667,61,16,20,0,0,No,0,No person,Informing,4,1,4,8,CTA in text,Negative,Finance,0,Professional,0,0,0,White
433,Spartan Consulting,07/02/2019,photo,NO_CTA,photo,95.16,52664,15,1,2,0,0,No,0,No person,Informing,1,1,4,7,no CTA at all,Neutral,Finance,0,Professional,0,1,0,Blue
434,Grece Foundation,16/01/2019,photo,NO_CTA,photo,148.22,52664,233,62,30,0,0,No,0,No person,Entertaining,1,7,3,5,no CTA at all,Neutral,Economy,0,Professional,0,0,0,Black
436,NY Climate Collective,31/07/2018,link,NO_CTA,share,275.21,52508,1244,114,720,0,0,Yes,1,Man,Persuading,2,1,8,7,no CTA at all,Neutral,Environment,0,Professional,1,0,0,Grey
437,Grece Foundation,27/03/2019,video,NO_CTA,video,96.4,52444,17,0,4,2004,675,Yes,5,Both,Persuading,4,8,8,5,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,White
438,Heschsoft,04/09/2019,photo,NO_CTA,photo,99.91,52420,8,3,1,0,0,Yes,2,Both,Persuading,6,1,7,5,CTA in text,Positive,Education,0,Professional,0,0,0,Blue
439,Cargill Entertainment,16/10/2018,share,NO_CTA,video,145.22,52382,144,0,0,0,0,No,0,No person,Engaging,7,1,5,5,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Black
441,NY Climate Collective,29/03/2018,link,NO_CTA,share,204.17,52350,165,22,12,0,0,Yes,1,Man,Informing,1,1,7,8,no CTA at all,Neutral,Other,0,Professional,0,0,0,Grey
442,NY Climate Collective,27/05/2019,video,NO_CTA,video,108.03,52348,25,15,5,2055,2055,No,0,No person,Informing,2,3,4,7,CTA in text,Positive,Social issues,0,Professional,1,0,0,Magenta
443,NY Climate Collective,19/10/2018,photo,NO_CTA,photo,217.65,52347,1076,444,110,0,0,No,0,No person,Informing,1,1,6,9,CTA in text,Positive,Finance,0,Professional,0,0,0,Grey
444,Grece Foundation,18/07/2018,photo,NO_CTA,photo,178.18,52316,15,11,2,0,0,No,0,No person,Informing,1,1,6,9,CTA in text,Neutral,Economy,0,Professional,0,0,0,Blue
446,Great Rants,20/05/2019,photo,NO_CTA,photo,292.42,52127,20,2,0,0,0,No,0,No person,Persuading,5,1,7,3,no CTA at all,Positive,International Politics,1,Professional,1,0,0,Blue
447,Great Rants,18/04/2019,link,learn_more,share,306.34,52032,0,0,3,0,0,Yes,1,Woman,Engaging,7,1,6,4,CTA in creative,Positive,Education,1,Professional,0,0,0,Blue
448,Grece Foundation,15/08/2019,photo,NO_CTA,photo,93.77,52010,1,1,1,0,0,No,0,No person,Informing,1,2,6,9,CTA in text,Positive,Education,0,Professional,0,0,0,Green
449,Spartan Consulting,19/10/2018,video,NO_CTA,video,166.07,51895,3,1,2,997,272,Yes,5,Man,Persuading,2,1,8,7,no CTA at all,Positive,Finance,1,Professional,0,0,1,Black
450,Grece Foundation,04/06/2018,photo,NO_CTA,photo,184.54,51736,7,1,0,0,0,No,0,No person,Informing,2,8,7,8,CTA in text,Positive,Health and lifestyle,0,Professional,0,0,0,Blue
451,Ted Hansen Campaign,07/12/2018,video,NO_CTA,video,410.74,51567,125,9,19,7029,2534,Yes,5,Both,Persuading,2,1,8,6,no CTA at all,Positive,Economy,0,Professional,0,1,0,Yellow
452,NY Climate Collective,27/08/2019,photo,NO_CTA,photo,121.89,51469,0,0,0,0,0,Yes,1,Woman,Persuading,1,1,8,6,CTA in text,Positive,Economy,0,Professional,0,0,0,Magenta
453,NY Climate Collective,05/02/2019,link,NO_CTA,share,105.84,51311,56,24,7,0,0,Yes,1,Man,Persuading,1,1,7,6,CTA in text,Positive,Finance,0,Professional,1,0,0,Grey
455,NY Climate Collective,26/01/2018,link,learn_more,share,499.98,51250,307,26,13,0,0,No,0,No person,Engaging,8,2,5,4,CTA in both,Positive,Finance,0,Professional,1,0,0,Magenta
456,Heschsoft,07/12/2018,video,learn_more,video,206.73,51243,10,6,1,797,183,Yes,5,Both,Persuading,2,4,8,6,no CTA at all,Positive,Other,0,Professional,0,0,0,White
457,Great Rants,10/11/2018,photo,NO_CTA,photo,400,51068,1860,561,206,0,0,Yes,1,Woman,Persuading,3,1,7,4,no CTA at all,Positive,Social issues,0,Professional,0,0,0,Red
458,Cargill Entertainment,06/04/2018,video,NO_CTA,video,195.64,51023,219,35,38,8261,2709,Yes,5,Both,Persuading,2,7,8,7,CTA in text,Positive,International Politics,0,Professional,1,0,0,Black
459,Grece Foundation,26/11/2018,photo,NO_CTA,photo,204.18,50910,156,31,47,0,0,No,0,No person,Informing,2,6,4,8,CTA in text,Neutral,Education,0,Professional,0,0,0,Blue
461,Spartan Consulting,05/09/2019,photo,NO_CTA,photo,113.15,50743,141,40,17,0,0,Yes,1,Man,Informing,5,1,6,8,CTA in text,Neutral,Finance,0,Professional,0,0,0,Blue
462,Great Rants,03/05/2019,link,learn_more,share,498.47,50581,53,28,4,0,0,Yes,1,Woman,Engaging,8,2,4,5,CTA in both,Positive,No topic,1,Professional,0,0,0,Blue
464,Heschsoft,26/06/2019,video,NO_CTA,video,163.63,50535,66,58,15,1805,405,Yes,4,Both,Persuading,2,1,8,6,CTA in text,Positive,Infrastructure,0,Professional,1,0,0,Purple
465,Grece Foundation,15/05/2019,photo,NO_CTA,photo,114.11,50442,191,16,33,0,0,Yes,1,Man,Persuading,1,1,7,6,no CTA at all,Positive,Economy,0,Professional,0,0,0,Black
466,Great Rants,05/04/2019,photo,NO_CTA,photo,300,50357,501,77,14,0,0,Yes,1,Woman,Persuading,1,1,8,4,no CTA at all,Positive,Education,0,Professional,0,0,0,Red
468,Cargill Entertainment,11/05/2018,photo,NO_CTA,photo,121.89,50259,377,54,27,0,0,Yes,1,Man,Engaging,8,2,3,4,CTA in both,Neutral,No topic,0,Professional,0,0,0,Blue
469,Great Rants,11/11/2018,video,NO_CTA,video,300,50193,131,32,10,10608,2487,Yes,5,Both,Persuading,2,1,7,6,no CTA at all,Positive,No topic,0,Professional,0,0,1,Red
470,Narisoft,09/10/2018,photo,NO_CTA,photo,232.42,50190,323,107,310,0,0,No,0,No person,Persuading,2,3,6,5,CTA in text,Negative,Environment,0,Professional,0,0,0,Grey
472,Cargill Entertainment,18/01/2018,video,NO_CTA,video,289.3,50069,56,15,9,8117,1926,No,0,No person,Persuading,7,4,9,8,CTA in both,Positive,Environment,0,Professional,1,0,0,White
473,Grece Foundation,22/05/2019,video,NO_CTA,video,256.32,50021,86,6,15,21192,12533,Yes,1,Woman,Entertaining,2,7,2,4,no CTA at all,Neutral,Finance,0,Professional,0,0,0,Other
474,NY Climate Collective,15/02/2019,video,NO_CTA,video,74.93,49982,3,2,4,1518,706,No,0,No person,Informing,2,1,6,8,CTA in text,Neutral,Finance,0,Professional,1,0,0,Magenta
475,Ted Hansen Campaign,08/10/2018,photo,NO_CTA,photo,183.28,49921,64,1,6,0,0,No,0,No person,Entertaining,2,8,6,2,no CTA at all,Neutral,Economy,0,Professional,0,0,0,Yellow
476,Great Rants,04/07/2018,photo,message_page,photo,500,49850,804,616,148,0,0,Yes,1,Woman,Persuading,6,1,8,3,CTA in text,Positive,Other,0,Professional,0,0,0,Red
477,NY Climate Collective,16/10/2018,link,NO_CTA,share,126.96,49827,60,27,14,0,0,Yes,1,Man,Informing,2,1,7,8,CTA in text,Neutral,Social issues,0,Professional,0,0,1,Grey
478,Cargill Entertainment,30/05/2018,photo,NO_CTA,photo,151.54,49746,108,15,9,0,0,Yes,1,Woman,Persuading,2,1,8,5,no CTA at all,Neutral,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
479,NY Climate Collective,16/07/2019,photo,NO_CTA,photo,63.92,49700,6,0,1,0,0,No,0,No person,Engaging,9,2,4,6,CTA in text,Positive,Environment,0,Professional,0,0,1,Magenta
480,Cargill Entertainment,14/03/2018,video,NO_CTA,video,225.58,49659,24,9,3,2258,716,Yes,5,Both,Engaging,9,2,5,8,CTA in both,Positive,Other,0,Professional,1,0,0,Blue
481,NY Climate Collective,17/08/2018,video,NO_CTA,video,319.97,49479,46,20,10,5101,1144,Yes,1,Man,Informing,1,1,8,6,no CTA at all,Positive,Education,0,Professional,1,0,0,Green
483,NY Climate Collective,10/04/2018,photo,no_button,photo,128.31,49357,964,157,282,0,0,No,0,No person,Informing,1,1,7,8,no CTA at all,Neutral,Finance,0,Professional,0,0,0,Magenta
484,Great Rants,20/05/2019,photo,NO_CTA,photo,236.55,49337,8,1,2,0,0,No,0,No person,Persuading,5,1,7,3,no CTA at all,Positive,International Politics,1,Professional,1,0,0,Red
485,Ted Hansen Campaign,22/02/2019,photo,NO_CTA,photo,119.53,49221,259,42,17,0,0,No,0,No person,Persuading,1,7,7,4,no CTA at all,Positive,Economy,0,Professional,0,1,0,Grey
